drug_code	eng_drug	chn_drug	etest_code	drug_group2	drug_group
ORS_NM	Ormetroprim/Sulfamethoxazole			Sulfonamides	Sulfonamides_Sulfonamides
OXA_NM	Oxacillin	苯唑西林	OX	β-lactams_Penicillins	β-lactams_Penicillins
OXO_NM	Oxolinic acid	奥索利酸		Topoisomerase inhibitors_1st g	Topoisomerase inhibitors_1st g
PEN_NM	Penicillin G	青霉素G		β-lactams_Penicillins	β-lactams_Penicillins
PEN_MENINGITIS_NM	Penicillin G meningitis	青霉素G脑膜炎		β-lactams_Penicillins	β-lactams_Penicillins
PEN_meningitis_NM	Penicillin G meningitis	青霉素G脑膜炎		β-lactams_Penicillins	β-lactams_Penicillins
PEN_NONMENINGITIS_NM	Penicillin G nonmeningitis	青霉素G非脑膜炎		β-lactams_Penicillins	β-lactams_Penicillins
PEN_nonmeningitis_NM	Penicillin G nonmeningitis	青霉素G非脑膜炎		β-lactams_Penicillins	β-lactams_Penicillins
PIP_NM	Piperacillin	哌拉西林	PP	β-lactams_Penicillins	β-lactams_Penicillins
PNO_NM	Penicillin/Novobiocin	青霉素/新生霉素		β-lactams_Penicillins	β-lactams_Penicillins
POL_NM	Polymixin B	多粘菌素B	PO	Other_polymyxins	Other_polymyxins
PRL_NM	Pirlimycin	吡利霉素		MLS_Lincosamides	MLS_Lincosamides
PRX_NM	Premafloxacin	沛马沙星		Topoisomerase inhibitors_Fluoroquinolones	Topoisomerase inhibitors_Fluoroquinolones
QDA_NM	Quinupristin/Dalfopristin	奎奴普丁/达福普汀	QDA	MLS_Streptogramins	MLS_Streptogramins
RIF_NM	Rifampicin	利福平	RI	Rifamycins	Rifamycins_Rifamycins
SAM_NM	Ampicillin/Sulbactam	氨苄西林/舒巴坦		β-lactams_Penicillins	β-lactams_Penicillins
SAR_NM	Sarafloxacin	沙氟沙星		Topoisomerase inhibitors_Fluoroquinolones	Topoisomerase inhibitors_Fluoroquinolones
SLP_NM	Sulopenem			β-lactams_Carbapenems	β-lactams_Carbapenems
SMX_NM	Sulfamethoxazole	磺胺甲二唑		Sulfonamides	Sulfonamides_Sulfonamides
SOX_NM	Sulfisoxazole	磺胺二甲异噁唑		Sulfonamides	Sulfonamides_Sulfonamides
SPT_NM	Spectinomycin	大观霉素	SC	Aminoglycosides	Aminoglycosides_Aminoglycosides
SPX_NM	Sparfloxacin	司氟沙星		Topoisomerase inhibitors_Fluoroquinolones	Topoisomerase inhibitors_Fluoroquinolones
SSS_NM	Sulfonamides	磺胺类		Sulfonamides	Sulfonamides_Sulfonamides
STH_NM	Streptomycin-High	高浓度链霉素		Aminoglycosides	Aminoglycosides_Aminoglycosides
STR_NM	Streptomycin	链霉素	SM	Aminoglycosides	Aminoglycosides_Aminoglycosides
SXT_NM	Trimethoprim/Sulfamethoxazole	复方新诺明		Sulfonamides	Sulfonamides_Sulfonamides
TCC_NM	Ticarcillin/Clavulanic acid	替卡西林/克拉维酸		β-lactams_Penicillins	β-lactams_Penicillins
TCY_NM	Tetracycline	四环素		Tetracycline antibiotics_Tetracyclines	Tetracycline antibiotics_Tetracyclines
TEC_NM	Teicoplanin	替考拉宁		Glycopeptide	Glycopeptide_Glycopeptide
TGC_NM	Tigecycline	替加环素		Tetracycline antibiotics_Glycylcyclines	Tetracycline antibiotics_Glycylcyclines
TIA_NM	Tiamulin	硫姆林		Pleuromutilins	Pleuromutilins_Pleuromutilins
TIC_NM	Ticarcillin	替卡西林		β-lactams_Penicillins	β-lactams_Penicillins
TIL_NM	Tilmicosin	替米考星			
TIO_NM	Ceftiofur	头孢噻呋		β-lactams_Cephalosporins	β-lactams_Cephalosporins
TLT_NM	Telithromycin	泰利霉素		MLS_Ketolides	MLS_Ketolides
TLV_NM	Telavancin			Glycopeptide	Glycopeptide_Glycopeptide
TMP_NM	Trimethoprim	甲氧苄啶		Sulfonamides	Sulfonamides_Sulfonamides
TMX_NM	Temafloxacin	替马沙星		Topoisomerase inhibitors_Fluoroquinolones	Topoisomerase inhibitors_Fluoroquinolones
TOB_NM	Tobramycin	妥布霉素		Aminoglycosides	Aminoglycosides_Aminoglycosides
TRO_NM	Trospectomycin	丙大观霉素		Aminoglycosides	Aminoglycosides_Aminoglycosides
TVA_NM	Trovafloxacin	曲伐沙星		Topoisomerase inhibitors_Fluoroquinolones	Topoisomerase inhibitors_Fluoroquinolones
TZP_NM	Piperacillin/Tazobactam	哌拉西林/他唑巴坦	PTC	β-lactams_Penicillins	β-lactams_Penicillins
VAN_NM	Vancomycin	万古霉素		Glycopeptide	Glycopeptide_Glycopeptide
VOR_NM	Voriconazole	伏立康唑			
CSL_NM	Cefoperazone/Sulbactam	头孢哌酮/舒巴坦		β-lactams_Cephalosporins	β-lactams_Cephalosporins
ERAVACYCLINE_NM	Eravacycline			Tetracycline antibiotics_Fluorocyclines	Tetracycline antibiotics_Fluorocyclines
