#M100-S27
#
class,org,drug,mic.s,mic.r
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,GEN_NM_TCY_NM_MNO_NM_MIN_NM,4,16
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,AMK_NM,16,64
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,CLA_NM_AZM_NM_CLR_NM,2,8
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,ERY_NM,0.5,8
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,LVX_NM_CIP_NM_RIF_NM,1,4
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,MFX_NM,0.5,2
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,SXT_NM,2,4
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,CLI_NM,0.5,4
CoNS,sep_sae_sai_sap_sc__sca_scg_scl_scn_scp_scu_sde_seq_sfe_sgl_shl_sho_shy_sit_skl_slc_sle_sms_snb_sps_spv_ssb_ssf_ssi_ssr_sta_stc_stt_sul_sur_swa_sxy_CoNS,LNZ_NM,4,8
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,AMP_NM_SAM_NM_FOX_NM_CHL_NM,8,32
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,TZP_NM_PIP_NM,16,128
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,CZO_NM_LVX_NM_PB_NM_TGC_NM_TGC_NE,2,8
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,FEP_NM,2,16
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,CRO_NM_CTX_NM_CTC_NM_IPM_NM_MEM_NM_CIP_NM,1,4
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,CAZ_NM_CCV_NM_ATM_NM_GEN_NM_TOB_NM_TCY_NM_MNO_NM_MIN_NM,4,16
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,CSL_NM,16,64
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,ETP_NM,0.5,2
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,AMK_NM,16,64
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,SXT_NM,2,4
肠杆菌科,eco_kpn_ecl_eae_sma_kox_pmi_cfr_mmo_cdi_pst_kor_pvu_hal_slq_koz_cbk_ppe_pre_sfo,FOS_NM,64,256
铜绿,pae,TZP_NM_PIP_NM,16,128
铜绿,pae,CAZ_NM_FEP_NM_ATM_NM,8,32
铜绿,pae,IPM_NM_MEM_NM_PB_NM_LVX_NM_COL_NM_POL_NM,2,8
铜绿,pae,GEN_NM_TOB_NM,4,16
铜绿,pae,AMK_NM,16,64
铜绿,pae,CIP_NM,1,4
不动,aba_aju_ajo_alw_aca_ac-,TZP_NM_PIP_NM,16,128
不动,aba_aju_ajo_alw_aca_ac-,CAZ_NM_FEP_NM_SAM_NM,8,32
不动,aba_aju_ajo_alw_aca_ac-,CTX_NM_CRO_NM,8,64
不动,aba_aju_ajo_alw_aca_ac-,IPM_NM_MEM_NM,2,8
不动,aba_aju_ajo_alw_aca_ac-,COL_NM_PB_NM_POL_NM,2,4
不动,aba_aju_ajo_alw_aca_ac-,GEN_NM_TOB_NM,4,16
不动,aba_aju_ajo_alw_aca_ac-,AMK_NM,16,64
不动,aba_aju_ajo_alw_aca_ac-,TCY_NM_MNO_NM_MIN_NM,4,16
不动,aba_aju_ajo_alw_aca_ac-,CIP_NM,1,4
不动,aba_aju_ajo_alw_aca_ac-,LVX_NM_SXT_NM_TGC_NM_TGC_NE,2,8
洋葱,pce_buk,CAZ_NM_CHL_NM,8,32
洋葱,pce_buk,MEM_NM_MNO_NM_MIN_NM,4,16
洋葱,pce_buk,LVX_NM,2,8
洋葱,pce_buk,SXT_NM,2,4
嗜麦芽,pma,CAZ_NM_CHL_NM,8,32
嗜麦芽,pma,SXT_NM,2,4
嗜麦芽,pma,LVX_NM,2,8
嗜麦芽,pma,MNO_NM_MIN_NM,4,16
嗜麦芽,pma,SXT_NM,2,4
肠球菌,ean_eav_eca_ecc_ecb_eds_edu_efa_efm_efv_ega_egv_enh_ema_emn_epa_evi_eps_era_esh_ese_eso_ent_evi_esu,PEN_NM_AMP_NM,8,16
肠球菌,ean_eav_eca_ecc_ecb_eds_edu_efa_efm_efv_ega_egv_enh_ema_emn_epa_evi_eps_era_esh_ese_eso_ent_evi_esu,VAN_NM,4,32
肠球菌,ean_eav_eca_ecc_ecb_eds_edu_efa_efm_efv_ega_egv_enh_ema_emn_epa_evi_eps_era_esh_ese_eso_ent_evi_esu,TEC_NM_CHL_NM,8,32
肠球菌,ean_eav_eca_ecc_ecb_eds_edu_efa_efm_efv_ega_egv_enh_ema_emn_epa_evi_eps_era_esh_ese_eso_ent_evi_esu,DAP_NM,4,0
肠球菌,ean_eav_eca_ecc_ecb_eds_edu_efa_efm_efv_ega_egv_enh_ema_emn_epa_evi_eps_era_esh_ese_eso_ent_evi_esu,ERY_NM,0.5,8
肠球菌,ean_eav_eca_ecc_ecb_eds_edu_efa_efm_efv_ega_egv_enh_ema_emn_epa_evi_eps_era_esh_ese_eso_ent_evi_esu,TCY_NM_MNO_NM_MIN_NM,4,16
肠球菌,ean_eav_eca_ecc_ecb_eds_edu_efa_efm_efv_ega_egv_enh_ema_emn_epa_evi_eps_era_esh_ese_eso_ent_evi_esu,CIP_NM,1,4
肠球菌,ean_eav_eca_ecc_ecb_eds_edu_efa_efm_efv_ega_egv_enh_ema_emn_epa_evi_eps_era_esh_ese_eso_ent_evi_esu,LVX_NM_LNZ_NM,2,8
